
" ";"Forbrugertillidsindikatoren";"Familiens økonomiske situation i dag, sammenlignet med for et år siden";"Familiens økonomiske  situation om et år, sammenlignet med i dag";"Danmarks økonomiske situation i dag, sammenlignet med for et år siden";"Danmarks økonomiske situation om et år, sammenlignet med i dag";"Anskaffelse af større forbrugsgoder, fordelagtigt for øjeblikket";"Priser i dag, sammenlignet med for et år siden";"Priser om et år, sammenlignet med i dag";"Arbejdsløsheden om et år, sammenlignet med i dag";"Anskaffelse af større forbrugsgoder, inden for de næste 12 mdr.";"Anser det som fornuftigt at spare op i den nuværende økonomiske situation";"Regner med at kunne spare op i de kommende 12 måneder";"Familiens økonomiske situation lige nu: kan spare/penge slår til/ bruger mere end man tjener"
"2010M08";4.4;1.8;11.8;-2.9;16.5;-5.3;-10.7;3.3;-1.5;-7.5;68.0;28.8;26.5
"2010M09";2.3;1.1;10.7;-7.3;11.5;-4.6;-11.8;2.3;1.5;-1.7;69.4;24.8;23.9
"2010M10";0.6;-0.3;13.2;-12.1;11.1;-8.7;-7.0;10.1;2.2;-6.0;65.9;21.5;25.8
"2010M11";3.6;2.8;11.9;-8.7;13.5;-1.6;-5.2;12.6;12.6;-5.3;69.5;24.7;26.6
"2010M12";-0.7;-0.7;11.9;-12.6;11.1;-13.1;-2.4;12.2;8.9;-6.5;71.4;23.9;26.7
"2011M01";3.3;-0.8;10.1;-1.4;14.1;-5.4;-0.1;14.8;3.3;-5.5;71.6;17.2;20.7
"2011M02";-0.5;-0.6;10.4;-10.8;8.7;-10.5;4.6;26.2;2.6;-5.2;68.8;15.6;22.7
"2011M03";-0.8;2.5;9.7;-11.1;5.8;-11.0;17.8;29.6;2.9;-4.7;71.4;27.2;30.3
"2011M04";2.0;-0.6;11.2;-4.7;12.1;-7.8;19.4;19.9;-9.3;-4.1;72.1;23.9;26.2
"2011M05";2.6;-1.0;11.9;0.6;14.5;-12.9;17.6;20.5;-5.5;-4.2;66.5;23.2;22.8
"2011M06";3.0;1.8;11.3;-2.7;13.5;-9.0;14.4;15.2;-14.2;-4.2;67.6;27.2;26.8
"2011M07";-0.6;0.0;10.7;-9.5;5.8;-9.9;21.0;13.8;-1.2;-5.1;69.1;30.3;26.7
"2011M08";-2.2;-2.0;7.2;-13.6;1.4;-3.9;17.3;10.3;10.5;-7.4;64.8;25.6;25.4
"2011M09";-3.6;-2.0;8.4;-17.9;7.2;-13.7;13.6;9.8;9.1;-5.3;63.1;27.9;23.6
"2011M10";-6.6;-4.1;7.0;-17.9;-5.6;-12.4;15.6;27.4;13.3;-8.7;66.0;20.4;22.6
"2011M11";-9.2;-6.0;1.8;-21.0;-11.6;-9.1;23.1;26.1;18.2;-9.2;61.0;18.4;23.7
"2011M12";-9.8;-3.6;4.5;-27.2;-11.5;-11.4;22.8;23.0;24.5;-9.5;63.9;22.1;24.6
"2012M01";-7.0;-3.0;7.1;-26.2;-4.9;-7.9;23.4;17.2;26.1;-10.3;65.2;20.6;21.6
"2012M02";-4.8;-6.1;8.6;-18.5;1.7;-9.7;26.8;16.1;12.3;-8.5;66.3;23.7;22.5
"2012M03";-0.4;-2.0;8.5;-10.5;10.4;-8.5;30.9;17.0;-2.7;-6.4;65.4;25.9;24.0
"2012M04";0.6;-4.3;10.3;-4.9;13.2;-11.5;28.2;12.1;-2.5;-7.1;67.4;21.5;26.4
"2012M05";-0.4;-3.9;6.2;-6.2;8.4;-6.4;27.5;15.9;1.9;-5.8;67.1;25.3;26.2
"2012M06";-2.6;-2.6;7.0;-9.8;4.7;-12.2;28.0;19.4;4.8;-7.0;65.1;22.2;25.1
"2012M07";0.1;1.2;9.3;-9.4;7.6;-8.2;32.2;14.9;4.6;-6.2;63.2;21.5;23.5
"2012M08";0.0;-0.3;6.5;-9.1;6.4;-3.7;23.4;13.4;8.1;-6.9;66.2;28.5;25.3
"2012M09";-2.2;-0.1;7.4;-13.2;2.9;-7.7;25.8;15.3;14.2;-5.8;66.2;25.1;26.2
"2012M10";-5.5;-4.8;8.8;-19.0;-1.8;-10.6;32.0;20.2;18.4;-9.2;65.8;21.4;23.2
"2012M11";-1.3;-2.4;10.2;-11.4;5.7;-8.8;25.7;12.1;13.9;-4.7;63.9;25.0;25.3
"2012M12";-4.7;-5.7;5.8;-13.2;5.3;-15.5;22.6;10.3;16.2;-7.7;62.5;23.7;23.4
"2013M01";-2.7;-2.0;7.3;-13.0;3.3;-9.1;16.0;4.5;18.3;-9.5;62.4;18.4;24.2
"2013M02";-2.0;-2.0;8.5;-11.9;5.8;-10.2;11.5;12.6;13.6;-5.1;62.4;21.4;23.4
"2013M03";-2.1;-3.5;9.9;-7.8;7.0;-15.8;10.3;15.2;9.1;-8.2;66.1;23.3;24.8
"2013M04";-2.8;-4.6;9.5;-8.2;7.6;-18.2;12.0;12.4;5.9;-4.7;61.8;20.6;21.5
"2013M05";-2.6;-2.7;9.6;-9.2;5.2;-15.9;5.5;7.3;4.1;-6.7;65.3;26.1;24.5
"2013M06";3.4;2.0;10.1;-1.6;13.2;-6.9;4.1;10.5;-1.7;-3.2;63.9;22.9;26.4
"2013M07";3.7;-2.4;10.4;2.6;14.5;-6.4;7.2;12.5;-4.4;-5.3;61.4;23.8;25.5
"2013M08";5.9;-0.5;9.9;7.6;17.6;-5.1;7.5;13.1;-9.1;-4.9;65.4;28.6;27.0
"2013M09";4.7;1.8;11.3;4.0;16.7;-10.2;5.8;16.8;-4.5;-7.4;71.2;32.4;24.9
"2013M10";4.6;-1.0;11.3;5.9;18.5;-11.8;6.2;14.0;-7.3;-5.1;68.8;23.4;20.4
"2013M11";4.0;-1.6;8.8;7.4;16.1;-10.6;3.4;16.4;-5.5;-6.3;64.4;22.2;24.0
"2013M12";2.9;-0.8;9.6;4.5;13.9;-12.7;3.0;15.7;-5.4;-4.2;66.2;24.1;24.4
"2014M01";6.3;0.0;10.1;10.2;20.4;-9.0;-5.7;14.5;-9.0;-4.5;66.9;24.6;25.6
"2014M02";4.2;-0.8;9.7;6.1;15.4;-9.4;-1.2;15.9;-6.8;-8.0;64.7;32.2;28.6
"2014M03";5.0;-1.7;10.7;7.4;16.4;-7.8;0.1;21.7;-7.2;-5.2;60.3;19.7;24.1
"2014M04";5.5;0.7;8.6;7.6;16.1;-5.5;-3.0;23.5;-7.3;-6.6;60.4;23.2;25.8
"2014M05";7.8;0.9;12.7;11.3;19.2;-5.0;-1.5;18.3;-10.6;-5.1;62.5;31.7;28.2
"2014M06";9.3;1.5;12.1;16.2;25.0;-8.2;1.4;22.7;-18.5;-3.2;57.9;29.3;24.5
"2014M07";10.6;3.0;15.1;16.6;25.5;-7.2;-3.1;17.0;-17.9;-2.4;59.5;24.1;23.6
"2014M08";11.4;4.8;14.6;17.6;25.0;-4.7;-3.9;19.9;-15.8;-3.4;58.9;27.9;26.0
"2014M09";7.1;2.1;13.1;11.9;16.8;-8.2;-3.6;19.1;-7.3;-5.4;64.6;22.7;20.9
"2014M10";8.2;4.3;15.1;14.7;16.8;-9.9;-6.0;23.2;-4.6;-5.3;58.8;24.3;26.6
"2014M11";6.3;2.9;13.1;9.8;14.1;-8.5;-2.1;17.8;-5.9;-6.2;63.2;26.8;25.3
"2014M12";6.0;5.9;12.8;9.9;13.1;-11.6;-8.2;16.3;-0.4;-1.9;61.5;28.1;24.8
"2015M01";9.0;8.3;11.8;13.6;16.6;-5.3;-15.5;8.1;-8.0;-2.8;58.3;24.0;25.1
"2015M02";9.1;4.1;14.0;12.2;17.6;-2.3;-19.1;11.6;-9.7;-3.8;59.8;24.9;22.5
"2015M03";13.9;5.7;17.1;20.2;25.6;1.1;-18.6;12.4;-17.0;-2.6;57.9;30.4;24.4
"2015M04";13.7;3.6;17.4;22.4;25.3;-0.2;-11.4;17.9;-16.0;-2.5;51.9;26.0;27.7
"2015M05";13.0;8.0;14.9;20.9;23.3;-1.9;-7.8;20.8;-14.0;-4.1;61.3;29.5;28.1
"2015M06";9.8;3.8;13.0;17.1;21.1;-5.9;-6.1;21.5;-15.7;-3.5;65.5;28.8;25.8
"2015M07";9.5;7.4;14.3;19.0;14.0;-7.4;-10.2;16.0;-12.5;-1.6;59.0;26.4;27.9
"2015M08";9.2;6.8;14.3;15.2;14.6;-5.1;-12.0;14.5;-11.4;-6.0;61.9;32.4;30.3
"2015M09";5.0;3.1;10.7;12.2;5.6;-6.9;-10.9;15.8;-8.5;-3.1;62.9;29.0;24.6
"2015M10";3.0;2.1;10.9;7.6;6.2;-11.7;-12.5;20.0;-6.6;-5.2;58.3;23.0;26.3
"2015M11";5.6;4.3;14.0;10.8;4.6;-5.7;-15.3;15.4;-4.2;-2.9;66.8;30.5;26.4
"2015M12";6.1;9.6;11.5;11.1;6.5;-8.4;-12.5;13.4;-4.6;-6.2;65.8;29.4;28.7
"2016M01";4.6;4.5;11.4;11.1;2.0;-6.1;-17.1;15.0;-2.5;-6.2;60.6;24.5;24.9
"2016M02";4.0;5.5;12.5;7.6;0.1;-5.9;-18.8;10.3;0.2;-4.0;64.8;32.0;26.9
"2016M03";3.6;4.2;11.0;6.8;1.0;-4.8;-19.2;13.1;2.8;-5.4;64.4;30.1;25.2
"2016M04";5.5;6.7;13.6;8.8;5.0;-6.7;-15.3;16.0;-0.2;-3.9;57.7;25.6;27.9
"2016M05";3.2;4.7;11.6;4.0;1.6;-5.7;-12.1;12.5;2.3;-2.7;65.6;30.1;28.3
